分	名詞	7.301354059538304
ぐらい	助詞	8.52099298060864
席	名詞	8.802844132749627
外し	動詞	10.36681967110697
て	動詞	5.619957040213662
たら	助動詞	5.695029797777483
なくなっ	動詞	10.16614897564482
た	助動詞	3.7339399305293957
笑	名詞	5.56827809213834
こういう	連体詞	9.130057043958043
こと	名詞	5.7473083678482215
です	助動詞	4.8155842245434926
ね	助詞	5.023422719786037
ピザ	名詞	10.772284779215134
って	助詞	5.461544892668541
急	名詞	9.305947710421707
に	助詞	3.6870809081809175
猛烈	名詞	10.618134099387877
食べ	動詞	7.231325455177821
たく	助動詞	7.688846925242038
なる	動詞	6.49561866019908
よ	助詞	4.920082299440661
な	助詞	5.365113007755016
だれ	動詞	11.870897067883245
さ	名詞	6.761925873066127
そう	名詞	6.439360857548985
の	助詞	3.450985999273561
さ	助詞	7.793359623977525
ー	名詞	5.279909442247985
長老	名詞	12.56404424844319
妻	名詞	9.85599404734098
は	助詞	3.8919006970291297
うつ病	名詞	12.56404424844319
方	名詞	6.603038908819916
も	助詞	4.583678483331944
容赦	名詞	12.56404424844319
ない	助動詞	4.709663037790825
よー	助詞	7.65876947000476
ボロボロ	名詞	10.954606336009089
まで	助詞	6.452576908940512
イジメ	名詞	12.56404424844319
る	助動詞	8.086707433964984
と	助詞	4.402954735597392
思い	動詞	7.793359623977525
ます	助動詞	4.916258203002257
エホバ	名詞	12.56404424844319
証人	名詞	11.870897067883245
本当に	副詞	7.9996960569753535
恐ろしい	形容詞	10.618134099387877
組織	名詞	11.46543195977508
この	連体詞	6.404948859951257
講義	名詞	10.484602706763354
室	名詞	9.473001795084874
精神	名詞	9.61960526927675
時	名詞	6.291167241897022
部屋	名詞	8.926458088716805
だ	助動詞	4.54213146945748
まじ	名詞	8.075407878711049
くそ	接頭詞	8.953126335798965
だるい	形容詞	9.85599404734098
早く	形容詞	8.031444755289934
やめ	動詞	8.145203640646592
たい	助動詞	5.755004942400211
廃人	名詞	11.870897067883245
から	助詞	4.858331424548762
よく	副詞	7.863563882650774
つけ	名詞	10.484602706763354
っ	動詞	6.700413072845093
ぱ	名詞	9.730830904386973
で	助詞	4.275007150164706
寝る	動詞	8.953126335798965
ん	名詞	5.006571346828443
けど	助詞	5.396235064126746
が	助詞	3.970631031115543
暖かく	形容詞	11.1777498873233
し	助動詞	8.389656978547553
電気	名詞	10.079137598655189
無駄	名詞	9.196748418456716
し	助詞	6.386100134392589
オススメ	名詞	9.519521810719766
し	動詞	4.344987587382592
て	助詞	3.674460256648217
い	動詞	5.749501351183231
サラダ	名詞	10.618134099387877
バー	名詞	10.261459155449144
疲れ	動詞	8.374389506416763
受かる	動詞	11.870897067883245
気	名詞	6.922137177505076
これ	名詞	6.417714990774292
まだまだ	副詞	9.519521810719766
募集	名詞	7.989333269939807
中	名詞	6.306376660560551
オオカミ	名詞	11.870897067883245
少女	名詞	9.85599404734098
観	動詞	9.098308345643463
訳	名詞	9.473001795084874
あっ	動詞	7.1303222448889505
もっ	動詞	9.162846866781035
かい	助詞	8.850472181738882
つ	助動詞	7.5141882411936525
誰	名詞	7.265726881895153
か	助詞	4.633838041758507
行こ	動詞	8.32993774384593
ず	助動詞	7.317020176282703
よろしく	形容詞	9.568311974889198
謎	名詞	9.473001795084874
北海道	名詞	9.519521810719766
応援	名詞	8.612800529861762
てる	動詞	5.321961889186228
ち	動詞	7.236168079653608
ゅちゅ	名詞	12.56404424844319
だから	接続詞	9.067536686976709
ちろ	動詞	12.56404424844319
誕生	名詞	8.287378129427134
日	名詞	6.254125970216673
じゃ	助動詞	9.098308345643463
そんな	連体詞	7.416549771629737
問題	名詞	8.207335421753598
ゆ	名詞	8.612800529861762
怒っ	動詞	10.36681967110697
言っ	動詞	7.011084663521572
れ	動詞	5.853521138990762
ぐさんもお	名詞	12.56404424844319
を	助詞	4.328418528478879
今回	名詞	8.48650680453747
中間	名詞	10.954606336009089
まとめ	名詞	8.420909522051657
ねー	助詞	7.546764411628265
期末	名詞	11.46543195977508
ダメ	名詞	8.32993774384593
安心	名詞	8.953126335798965
まし	助動詞	5.863313138895379
クソワロ	名詞	11.870897067883245
宇都宮	名詞	10.772284779215134
ラーメン	名詞	9.42855003251404
屋	名詞	8.802844132749627
一	名詞	6.771030640059046
力	名詞	7.979076769772618
さん	名詞	5.7160389738668265
ハマっ	動詞	10.36681967110697
しまっ	動詞	7.827845800048695
週	名詞	9.791455526203409
今日	名詞	6.3881769783374285
行く	動詞	7.452056460086647
つもり	名詞	9.568311974889198
ほんと	感動詞	7.948923731601931
何	名詞	6.384027594790617
回	名詞	7.306548876415408
言う	動詞	7.7518598930707725
ん	助動詞	6.137555790985499
ねん	助詞	8.53869255770804
可愛い	形容詞	7.371087397552979
キャラ	名詞	8.453170384269878
描ける	動詞	10.36681967110697
の	名詞	5.152487960632026
いい	形容詞	5.864543908281512
むぅ	名詞	11.46543195977508
逆	名詞	9.067536686976709
男の子	名詞	10.079137598655189
描け	動詞	10.261459155449144
なく	助動詞	6.999523841120497
なっ	動詞	6.150585291275833
ある	動詞	6.0886115317391
すか	名詞	9.61960526927675
帰っ	動詞	8.145203640646592
風呂	名詞	9.130057043958043
入り	動詞	9.730830904386973
松山	名詞	12.56404424844319
市	名詞	8.48650680453747
西石井	名詞	12.56404424844319
賃貸	名詞	11.46543195977508
マンション	名詞	10.618134099387877
ヴィラ	名詞	12.56404424844319
浴室	名詞	12.56404424844319
撮影	名詞	9.098308345643463
物件	名詞	11.870897067883245
情報	名詞	7.719857161984598
